Time,id,pm1,pm2.5,pm4,pm10
1900-01-01 18:30:00,4235113,5,6,6,6
1900-01-01 18:30:00,4235113,5,6,6,6
1900-01-01 18:30:00,4235113,5,5,5,5
1900-01-01 18:30:00,4235113,5,6,6,6
1900-01-01 18:30:00,4235113,5,5,5,5
1900-01-01 18:30:00,4235113,5,5,5,5
1900-01-01 18:30:00,4235113,5,5,6,6
1900-01-01 18:30:00,4235113,5,5,5,5
1900-01-01 18:30:00,4235113,5,5,5,5
1900-01-01 18:30:00,4235113,5,5,5,5
1900-01-01 18:40:00,4235113,5,5,5,5
1900-01-01 18:40:00,4235113,5,5,5,5
1900-01-01 18:40:00,4235113,5,5,5,5
1900-01-01 18:40:00,4235113,5,5,5,5
1900-01-01 18:40:00,4235113,5,5,5,5
1900-01-01 18:40:00,4235113,5,5,5,5
1900-01-01 18:40:00,4235113,4,5,5,5
1900-01-01 18:40:00,4235113,4,5,5,5
1900-01-01 18:40:00,4235113,5,5,5,5
1900-01-01 18:40:00,4235113,5,5,5,5
1900-01-01 18:40:00,4235113,6,6,6,6
1900-01-01 18:50:00,4235113,5,5,5,5
1900-01-01 18:50:00,4235113,6,6,6,6
1900-01-01 18:50:00,4235113,5,6,6,6
1900-01-01 18:50:00,4235113,5,5,5,5
1900-01-01 18:50:00,4235113,5,6,6,6
1900-01-01 18:50:00,4235113,6,6,6,6
1900-01-01 18:50:00,4235113,5,6,6,6
1900-01-01 18:50:00,4235113,5,6,6,6
1900-01-01 18:50:00,4235113,6,6,6,6
1900-01-01 18:50:00,4235113,5,6,6,6
1900-01-01 18:50:00,4235113,5,6,6,6
1900-01-01 19:00:00,4235113,5,5,5,5
1900-01-01 19:00:00,4235113,5,5,5,5
1900-01-01 19:00:00,4235113,5,5,5,5
1900-01-01 19:00:00,4235113,6,6,6,6
1900-01-01 19:00:00,4235113,5,6,6,6
1900-01-01 19:00:00,4235113,6,6,6,6
1900-01-01 19:00:00,4235113,6,6,6,6
1900-01-01 19:00:00,4235113,6,6,6,6
1900-01-01 19:00:00,4235113,5,6,6,6
1900-01-01 19:00:00,4235113,5,6,6,6
1900-01-01 19:00:00,4235113,5,5,5,5
1900-01-01 19:00:00,4235113,6,6,6,6
1900-01-01 19:10:00,4235113,6,6,6,6
1900-01-01 19:10:00,4235113,6,6,6,6
1900-01-01 19:10:00,4235113,5,6,6,6
1900-01-01 19:10:00,4235113,5,6,6,6
1900-01-01 19:10:00,4235113,5,6,6,6
1900-01-01 19:10:00,4235113,5,6,6,6
1900-01-01 19:10:00,4235113,5,5,5,5
1900-01-01 19:10:00,4235113,6,6,6,6
1900-01-01 19:10:00,4235113,6,6,6,6
1900-01-01 19:20:00,4235113,5,5,5,5
1900-01-01 19:20:00,4235113,6,6,6,6
1900-01-01 19:20:00,4235113,5,6,6,6
1900-01-01 19:20:00,4235113,5,5,6,6
1900-01-01 19:20:00,4235113,5,6,6,6
1900-01-01 19:20:00,4235113,5,6,6,6
1900-01-01 19:20:00,4235113,6,6,6,6
1900-01-01 19:20:00,4235113,5,6,6,6
1900-01-01 19:20:00,4235113,5,6,6,6
1900-01-01 19:20:00,4235113,6,6,6,6
1900-01-01 19:20:00,4235113,5,6,6,6
1900-01-01 19:20:00,4235113,5,6,6,6
1900-01-01 19:30:00,4235113,6,6,6,6
1900-01-01 19:30:00,4235113,5,6,6,6
1900-01-01 19:30:00,4235113,5,6,6,6
1900-01-01 19:30:00,4235113,6,6,6,6
1900-01-01 19:30:00,4235113,5,6,6,6
1900-01-01 19:30:00,4235113,5,6,6,6
1900-01-01 19:30:00,4235113,6,6,6,6
1900-01-01 19:30:00,4235113,5,6,6,6
1900-01-01 19:30:00,4235113,5,6,6,6
1900-01-01 19:30:00,4235113,5,6,6,6
1900-01-01 19:30:00,4235113,5,6,6,6
1900-01-01 19:40:00,4235113,6,6,6,6
1900-01-01 19:40:00,4235113,5,6,6,6
1900-01-01 19:40:00,4235113,5,6,6,6
1900-01-01 19:40:00,4235113,5,5,5,5
1900-01-01 19:40:00,4235113,5,5,5,5
1900-01-01 19:40:00,4235113,5,6,6,6
1900-01-01 19:40:00,4235113,5,6,6,6
1900-01-01 19:40:00,4235113,5,6,6,6
1900-01-01 19:40:00,4235113,5,5,5,5
1900-01-01 19:40:00,4235113,5,5,5,5
1900-01-01 19:40:00,4235113,5,5,5,5
1900-01-01 19:50:00,4235113,5,5,5,5
1900-01-01 19:50:00,4235113,5,5,5,5
1900-01-01 19:50:00,4235113,5,5,5,5
1900-01-01 19:50:00,4235113,4,5,5,5
1900-01-01 19:50:00,4235113,5,5,5,5
1900-01-01 19:50:00,4235113,5,5,5,5
1900-01-01 19:50:00,4235113,5,5,5,5
1900-01-01 19:50:00,4235113,5,5,5,5
1900-01-01 19:50:00,4235113,5,5,5,5
1900-01-01 19:50:00,4235113,4,5,5,5
1900-01-01 19:50:00,4235113,5,5,5,5
1900-01-01 20:00:00,4235113,5,5,5,5
1900-01-01 20:00:00,4235113,5,5,5,5
1900-01-01 20:00:00,4235113,5,5,5,5
1900-01-01 20:00:00,4235113,4,5,5,5
1900-01-01 20:00:00,4235113,4,5,5,5
1900-01-01 20:00:00,4235113,5,5,5,5
1900-01-01 20:00:00,4235113,5,5,5,5
1900-01-01 20:00:00,4235113,4,5,5,5
1900-01-01 20:00:00,4235113,4,5,5,5
1900-01-01 20:00:00,4235113,4,5,5,5
1900-01-01 20:00:00,4235113,5,5,5,5
1900-01-01 20:10:00,4235113,4,5,5,5
1900-01-01 20:10:00,4235113,4,4,4,4
1900-01-01 20:10:00,4235113,5,5,5,5
1900-01-01 20:10:00,4235113,4,5,5,5
1900-01-01 20:10:00,4235113,4,5,5,5
1900-01-01 20:10:00,4235113,4,5,5,5
1900-01-01 20:10:00,4235113,4,4,4,4
1900-01-01 20:10:00,4235113,4,5,5,5
1900-01-01 20:10:00,4235113,4,5,5,5
1900-01-01 20:10:00,4235113,4,4,5,5
1900-01-01 20:10:00,4235113,3,4,4,4
1900-01-01 20:20:00,4235113,4,4,5,5
1900-01-01 20:20:00,4235113,4,4,4,4
1900-01-01 20:20:00,4235113,4,4,4,4
1900-01-01 20:20:00,4235113,4,4,4,4
1900-01-01 20:20:00,4235113,4,4,4,4
1900-01-01 20:20:00,4235113,4,5,5,5
1900-01-01 20:20:00,4235113,4,4,4,4
1900-01-01 20:20:00,4235113,4,4,4,4
1900-01-01 20:20:00,4235113,4,4,4,4
1900-01-01 20:20:00,4235113,4,4,4,4
1900-01-01 20:20:00,4235113,4,4,4,4
1900-01-01 20:30:00,4235113,4,4,4,4
1900-01-01 20:30:00,4235113,4,4,4,4
1900-01-01 20:30:00,4235113,4,4,4,4
1900-01-01 20:30:00,4235113,4,4,4,4
1900-01-01 20:30:00,4235113,4,4,4,4
1900-01-01 20:30:00,4235113,4,4,4,4
1900-01-01 20:30:00,4235113,4,4,4,4
1900-01-01 20:30:00,4235113,4,4,4,4
1900-01-01 20:30:00,4235113,4,4,4,4
1900-01-01 20:30:00,4235113,4,4,4,4
1900-01-01 20:30:00,4235113,4,4,4,4
1900-01-01 20:40:00,4235113,4,4,4,4
1900-01-01 20:40:00,4235113,4,4,4,4
1900-01-01 20:40:00,4235113,4,4,4,4
1900-01-01 20:40:00,4235113,3,4,4,4
1900-01-01 20:40:00,4235113,4,4,4,4
1900-01-01 20:40:00,4235113,4,4,4,4
1900-01-01 20:40:00,4235113,4,4,4,4
1900-01-01 20:40:00,4235113,3,3,3,3
1900-01-01 20:40:00,4235113,4,4,4,4
1900-01-01 20:40:00,4235113,4,5,5,5
1900-01-01 20:40:00,4235113,4,4,4,4
1900-01-01 20:50:00,4235113,3,4,4,4
1900-01-01 20:50:00,4235113,4,4,4,4
1900-01-01 20:50:00,4235113,4,4,4,4
1900-01-01 20:50:00,4235113,3,3,3,3
1900-01-01 20:50:00,4235113,4,4,4,4
1900-01-01 20:50:00,4235113,4,4,4,4
1900-01-01 20:50:00,4235113,4,4,4,4
